CRWD,5,tucker03,87.03,12/30/20
SE,5,tucker03,87.03,12/30/20
MGNI,5,tucker03,87.03,12/30/20
PLTR,4,tucker03,87.03,12/30/20
NET,5,tucker03,87.03,12/30/20
GOCO,0,catastrophik,96.08,12/29/20
KNSL,4,hely74,90.71,12/30/20
CURI,0,tmflouis,99.97,12/30/20
UPLD,4,johnnyrocku,99.91,12/30/20
CURI,0,tonyk,88.45,12/29/20
GDRX,4,ldigout,99.73,12/30/20
IIVI,4,nosportsmanship,99.92,12/30/20
DT,5,nosportsmanship,99.92,12/29/20
TVIX,1,lukecrumb,99.39,12/30/20
TDOC,5,cmfchadf926,96.80,12/30/20
HEI,5,kkconway,99.26,12/30/20
MGNI,5,cashrulez,92.47,12/30/20
FVRR,5,cashrulez,92.47,12/30/20
MKC,5,cashrulez,92.47,12/30/20
HEI,5,cashrulez,92.47,12/30/20
CRI,4,cashrulez,92.47,12/30/20
U,5,alexander1493,95.98,12/30/20
BIGC,4,alexander1493,95.97,12/30/20
PSTG,3,usubanas2,99.48,12/30/20
SEED,1,thetork,67.59,12/30/20
BIDU,4,thetork,67.59,12/30/20
HIMX,3,thetork,67.59,12/30/20
DMTK,0,thetork,67.59,12/30/20
NETE,1,thetork,67.59,12/30/20
BNGO,0,thetork,67.59,12/30/20
IPDN,0,thetork,67.59,12/30/20
BILI,5,thetork,67.56,12/30/20
IMMR,4,naylorj,80.02,12/29/20
AI,2,tmfsunlion,79.98,12/30/20
FMAO,0,stereotyp72,80.90,12/30/20
BCLI,1,stereotyp72,80.89,12/30/20
RXT,0,stereotyp72,80.89,12/30/20
AWH,1,stereotyp72,80.89,12/30/20
NYT,2,stereotyp72,80.89,12/30/20
WRLD,1,stereotyp72,80.89,12/30/20
CHRS,3,stereotyp72,80.89,12/30/20
KIDS,0,stereotyp72,80.89,12/30/20
IVR,5,stereotyp72,80.89,12/30/20
MCS,0,stereotyp72,80.89,12/30/20
GDRX,4,stereotyp72,80.89,12/30/20
HJLI,0,stereotyp72,80.89,12/30/20
BLNK,1,stereotyp72,80.89,12/30/20
TR,0,stereotyp72,80.89,12/30/20
FUBO,4,stereotyp72,80.89,12/30/20
AAON,4,stereotyp72,79.13,12/30/20
CVGW,3,stereotyp72,79.13,12/30/20
CDZI,1,stereotyp72,79.13,12/30/20
OMEX,1,stereotyp72,79.13,12/30/20
SSTI,4,stereotyp72,79.13,12/30/20
IVC,0,stereotyp72,79.13,12/30/20
URGN,0,stereotyp72,79.13,12/30/20
YMAB,0,stereotyp72,79.13,12/30/20
VRCA,0,stereotyp72,79.13,12/30/20
EZPW,0,stereotyp72,79.13,12/30/20
ANIK,0,stereotyp72,79.13,12/30/20
IRT,3,stereotyp72,79.13,12/30/20
XBIT,1,stereotyp72,79.13,12/30/20
STAR,0,stereotyp72,79.13,12/30/20
CRY,0,stereotyp72,79.13,12/30/20
BCEL,0,stereotyp72,79.13,12/30/20
GAIA,0,stereotyp72,79.13,12/30/20
GTT,5,stereotyp72,79.13,12/30/20
PETQ,5,stereotyp72,79.13,12/30/20
EVI,1,stereotyp72,79.13,12/30/20
TDC,1,stereotyp72,79.13,12/30/20
PRLB,4,stereotyp72,79.13,12/30/20
RES,3,stereotyp72,79.13,12/30/20
TVTY,4,stereotyp72,79.13,12/30/20
IRM,3,stereotyp72,79.13,12/30/20
ATHX,1,stereotyp72,79.13,12/30/20
CFX,2,stereotyp72,79.13,12/30/20
GERN,2,stereotyp72,79.13,12/30/20
MGPI,3,stereotyp72,79.13,12/30/20
LMND,5,zoceanz,97.45,12/30/20
CRLBF,3,sandvig,97.89,12/30/20
NBR,2,bdiederich08,98.10,12/30/20
DMTK,0,desertdavid,98.23,12/29/20
BA,3,ebigmac,69.22,12/30/20
ZM,4,ebigmac,69.22,12/30/20
DMTK,0,ebigmac,69.22,12/30/20
ACHV,1,guillu,64.14,12/30/20
AZRE,0,mrbill6,65.55,12/30/20
MSTR,5,mrbill6,65.55,12/30/20
ATOM,1,mrbill6,65.55,12/30/20
DMTK,0,mrbill6,65.55,12/30/20
NVTA,4,motleyinohio,89.89,12/30/20
FUBO,4,mrbill6,64.84,12/30/20
BEEM,1,mrbill6,64.80,12/30/20
TCEHY,5,mrbill6,64.80,12/29/20
PETQ,0,wolfhounds,97.23,12/30/20
AYX,5,ruhaan,94.25,12/30/20
KNSL,4,shaka610,97.14,12/30/20
THO,4,shaka610,97.14,12/30/20
YETI,3,shaka610,97.14,12/30/20
GNRC,4,shaka610,97.14,12/30/20
IIVI,4,shaka610,97.14,12/30/20
IPOE,0,pageboy2020,95.62,12/30/20
IIPR,4,cellblock9,91.10,12/30/20
NKE,4,cellblock9,91.10,12/30/20
NVR,4,cellblock9,91.10,12/30/20
CGNX,5,cellblock9,91.10,12/30/20
IRBT,4,cellblock9,91.10,12/30/20
GRWG,4,cellblock9,90.59,12/30/20
RKT,4,cellblock9,90.59,12/30/20
LLNW,4,italianbarber,95.25,12/30/20
CURI,0,italianbarber,95.25,12/30/20
U,5,ewaak,95.55,12/30/20
BIGC,4,ewaak,95.30,12/30/20
BILI,5,shakenbake38,95.26,12/30/20
ADBE,4,tycoon24,95.28,12/30/20
PLTR,4,tycoon24,95.23,12/30/20
NIO,2,charlie15,91.49,12/30/20
AMGN,4,led509,91.54,12/29/20
ZM,4,truewinner,94.86,12/29/20
MRK,4,kidkerner,60.64,12/30/20
WMT,3,kidkerner,60.64,12/30/20
ATVI,5,kidkerner,60.64,12/30/20
DPZ,4,kidkerner,60.64,12/30/20
DIS,5,mspmd,54.86,12/30/20
LMND,5,oldlumike,57.19,12/30/20
ONTO,0,tmfst1oak,93.13,12/30/20
EDIT,5,eruiz285,50.88,12/30/20
STNE,5,tph9091,67.34,12/29/20
AMCR,0,tph9091,67.34,12/29/20
RCL,2,tph9091,67.39,12/29/20
BABA,4,tph9091,67.39,12/29/20
STM,5,eruiz285,50.36,12/30/20
ZYXI,4,eruiz285,50.36,12/30/20
BEEM,1,eruiz285,50.36,12/30/20
VYGR,2,emperador78,64.28,12/30/20
SGEN,4,emperador78,64.28,12/30/20
SFBS,0,emperador78,64.28,12/30/20
REGI,3,emperador78,64.28,12/30/20
QFIN,1,emperador78,64.28,12/30/20
MORN,5,emperador78,64.28,12/30/20
LOPE,4,emperador78,64.28,12/30/20
INVA,5,emperador78,64.28,12/30/20
CRESY,0,emperador78,64.28,12/30/20
BMRN,3,emperador78,64.28,12/30/20
BDSI,3,emperador78,64.28,12/30/20
BCRX,2,emperador78,64.28,12/30/20
BIDU,4,kmhjv3rt,55.13,12/30/20
JMIA,3,kmhjv3rt,55.13,12/30/20
VTRS,0,ellinroc,53.29,12/30/20
JAX,0,ellinroc,53.30,12/30/20
OXY,2,stocksforlimits,53.52,12/30/20
RIOT,1,salamander1,90.39,12/30/20
BNGO,0,bigg2020,90.45,12/30/20
IMMR,4,bigg2020,90.45,12/30/20
FLIR,4,bigg2020,90.45,12/30/20
REGN,4,bigg2020,90.45,12/30/20
NVTA,4,bigg2020,90.45,12/30/20
IONS,5,bigg2020,90.45,12/30/20
PACB,3,bigg2020,90.45,12/30/20
RHHBY,5,bigg2020,90.45,12/30/20
VRTX,4,bigg2020,90.45,12/30/20
SURF,3,bigg2020,90.45,12/30/20
EXAS,4,bigg2020,90.45,12/30/20
TWST,4,bigg2020,90.45,12/30/20
CRSP,4,bigg2020,90.45,12/30/20
EDIT,5,bigg2020,90.45,12/30/20
SQ,5,mobiusstrip,87.00,12/30/20
ACN,5,mbdouglas,48.44,12/30/20
SDGR,5,wheelzofsteel,84.81,12/29/20
GBTC,4,suziem,87.49,12/29/20
NET,5,suziem,87.49,12/29/20
PBI,2,wheelzofsteel,83.96,12/29/20
IRM,3,wheelzofsteel,83.96,12/29/20
CLNE,3,cabbott86,86.97,12/30/20
NEE,4,cabbott86,86.97,12/30/20
CNI,5,cabbott86,86.97,12/30/20
FCEL,2,enigmadude,86.66,12/30/20
DUK,5,copetom,44.44,12/30/20
NK,1,copetom,44.44,12/30/20
FROG,4,copetom,44.37,12/30/20
LMND,5,jfree357,82.12,12/30/20
ABT,4,jfree357,82.12,12/30/20
ZTS,5,jfree357,82.12,12/30/20
U,5,jfree357,82.12,12/30/20
DMTK,0,murrellkem,83.58,12/29/20
CBAT,1,radlsee,44.49,12/30/20
SMLR,4,murrellkem,83.63,12/29/20
TDOC,5,pamstrums,82.71,12/29/20
FVRR,5,mm4autigers,63.89,12/29/20
BAC,3,ferarree,82.76,12/30/20
BMY,4,ferarree,82.76,12/30/20
TDOC,5,ferarree,82.76,12/30/20
ISRG,5,ferarree,82.76,12/30/20
AMT,5,ferarree,82.76,12/30/20
AAXN,5,ferarree,82.76,12/30/20
APPN,5,ferarree,82.76,12/30/20
OKTA,5,ferarree,82.76,12/30/20
BNGO,0,almostperfect1,72.98,12/30/20
ABB,4,apinvest,79.16,12/30/20
NEWR,4,sumbawa,81.27,12/30/20
MDB,5,thinkelk,42.66,12/29/20
ZM,4,thinkelk,42.66,12/29/20
DOCU,5,thinkelk,42.66,12/29/20
BEPC,5,thinkelk,42.66,12/29/20
SE,5,thinkelk,42.66,12/29/20
FVRR,5,thinkelk,42.66,12/29/20
LMND,5,thinkelk,42.66,12/29/20
BAND,4,jayblanck,80.28,12/30/20
LUMN,2,dss180,79.01,12/30/20
SMLR,4,tykerk,77.95,12/30/20
AVGO,5,agladst,68.40,12/30/20
LMND,5,d89,65.04,12/30/20
ATOM,1,mikemariani,38.62,12/30/20
MMYT,2,eddehhh,77.64,12/29/20
INMD,5,eddehhh,77.72,12/29/20
LMND,5,meir,77.29,12/30/20
FVRR,5,meir,77.29,12/30/20
TWST,4,yossi86,59.41,12/30/20
DDOG,5,discokinged,77.78,12/30/20
PACB,3,yossi86,57.89,12/30/20
CIO,0,smhikida,47.77,12/29/20
KRG,0,smhikida,45.98,12/29/20
BPY,3,smhikida,45.98,12/29/20
IRM,3,smhikida,45.98,12/29/20
EAF,5,cptevergrande,72.44,12/30/20
SPPI,2,1day,70.26,12/30/20
KIN,0,1day,70.26,12/30/20
CVX,2,tmfwillhealy,45.65,12/30/20
BA,3,tmfwillhealy,45.65,12/30/20
TWST,4,lcid4evr,66.77,12/30/20
PINS,5,lcid4evr,66.77,12/30/20
NET,5,lcid4evr,66.77,12/30/20
TXG,5,lcid4evr,66.77,12/30/20
MGNI,5,lcid4evr,67.49,12/30/20
SE,5,cdawgs22,69.74,12/30/20ratings/foolcaps_0,cdawgs22,69.74,12/30/20
NVAX,2,cdawgs22,69.74,12/30/20
ZUO,4,1day,69.54,12/30/20
RNET,0,1day,69.54,12/30/20
CPRX,3,1day,69.54,12/30/20
NK,1,1day,69.54,12/30/20
PIRS,5,1day,69.54,12/30/20
SMAR,4,1day,69.43,12/30/20
U,5,1day,69.43,12/30/20
ACM,4,tmfsaintgermain,59.08,12/30/20
WFC,3,db007,67.86,12/30/20
LYV,3,db007,67.86,12/30/20
CRWD,5,tmfpalomino2,65.70,12/30/20
IMMR,4,jsnms,27.25,12/30/20
