Add:XRX
Reduce:TEN,LNG
Add:LUMN
Reduce:FWONA,LAZ
Add:FOXA
Reduce:M
Add:MSGE,MDP,CLB
Buy:CBRE,KDP
Add:GE,ADP,RGA
Sell:FANG,CXO
Reduce:APA,COF,MCO
Buy:IAE
Buy:LEA
Add:SSRM,TCO,THM
Sell:AMTD
Reduce:TIF,TAK,QGEN
Buy:PANA,VAPO
Add:NBSE,JACK,REZI
Sell:TPX,XELA,WHR
Reduce:GDX,AER,CHNG
Buy:BAC,T,ET
Add:WES,SPG
Sell:OXY
Reduce:KHC,JOE
Buy:SNOW,NUAN,BILL
Add:DXCM,SHOP,ADSK
Sell:DFS,V,ZM
Reduce:AMZN,PYPL,DDOG
Buy:ZNGA,CTRE,LMNX
Add:CENX,ELAN,CRL
Sell:PSTG,MMS,CB
Reduce:BRO,CPRT,KMX
Buy:VRNT,FE,IWM
Add:TH,CSTR,BBSI
Sell:SFE,DRTT
Reduce:CE,ATSG,SNEX
Buy:PCGU
Add:PCG,MSFT,MU
Sell:VST,TSLA,AVGO
Reduce:GT,MO,SYY
Buy:TMUS,SNOW,BMY
Add:LILAK,BAC,KR
Sell:COST
Reduce:MTB,AXTA,WFC
Buy:CPT,PLTR,ANET
Add:CB,TRC,BEN
Sell:T,FMC,MSBF
Reduce:CARE,FLIR,DLB
Buy:MNRL,FVAC,MSI
Add:TRN,FCRD,NAVI
Sell:VICI,CNC,GTN
Reduce:NBR,ABR,SRGA
Buy:UNP,NET,MDB
Add:CRM,BX,AER
Sell:YY,CZR,IPHI
Reduce:GOOG,OOMA,SE
Buy:RXN,NOV,PNM
Add:GSK,STX,DEA
Sell:JAZZ,ENTG,HSBC
Reduce:CHRS,TAK,CHNGU
Buy:CDK,AMZN,AON
Add:AM,SCHW,JPM
Sell:LEN,DHI
Reduce:GOOGL,RJF,PGR
Buy:KFY,HBB
Add:SBSI,SEB,CTO
Sell:PSA,JCAP,CUBI
Reduce:JBGS,SRG,CARE
Buy:FIS,ICE
Add:FCAU,UNH,CACC
Sell:BABA,SAIL,JD
Reduce:BLDR,J,FB
Buy:U,FBC,EQNR
Add:FOCS,GM,ARMK
Sell:GRUB,BWA,TCO
Reduce:C,AVTR,MTG
Buy:LSXMA,PSTH,AMAT
Add:HDS,VSAT,LSXMK
Sell:ABC,UNVR,VTR
Reduce:QRVO,HPQ,VIST
Buy:CHMA
Add:PRTK,BHC
Reduce:IBM,MNKD,FTK
Buy:TTD
Add:CLNY,GSHD,CSGP
Sell:MAR
Reduce:KMX,AMT
Buy:YUMC,RDFN,DCT
Add:DRNA,ELS
Sell:KRC,BIPC,COUP
Reduce:RRR,ROP,IDXX,R
Buy:EEFT,PG,SNOW
Add:CDAY,LTHM,GPN
Sell:FEDU
Reduce:BABA,FND
Buy:KEX,RUSHB
Add:LMT,GLD,CVS
Reduce:MSFT
Reduce:CRESY
Buy:NXGN,TG,SYKE
Add:MLHR,MOFG,PEB
Sell:FLXS,TALO,GABC
Reduce:SWX,SMCI,FIX
Buy:HDB,VREX,PKE
Add:IPG,ORI,TARO
Sell:DSSI,KLIC,KOP
Reduce:TAK,HWCC,GILD
Buy:BAC,CSL,TFC
Add:GSK,USB,ABBV
Reduce:GOOG,CMCSA,EMR
Buy:CCI,ZBRA,IMMU
Add:TIF,OR,LORL
Sell:EE,PENN,PACB
Reduce:ATCO,TSM,KKR
Buy:BJRI,IWN,JPST
Add:PPRUY,PM,GS
Sell:SSYS,WYNN,MSTR
Reduce:HEI,INTC
Buy:LEVI,SSNC,INS
Add:BDX,KEYS,DISCK
Sell:TMO,CVX,RBC
Reduce:FDX,LFUS,DIN
Buy:HIBB,EGP,TECK
Add:IIPR,MDC,TOL
Sell:TER,KGC,KBH
Reduce:AMH,TMHC
Buy:INZY,GSX,DOCU
Sell:JBGS,BDX,WORK
Reduce:SPY,VEA
Buy:MD,TRTN,SENEA
Add:TCBI,AIZ,TRV
Sell:OXY,ALGT,PIPR
Reduce:AIG,COWN,NTB
Buy:IVE,IAC,RKT
Add:LSI,CI,ARE
Sell:MHK,FDX,JCAP
Reduce:STT,BABA,FB
Buy:FRC,FIS
Add:LSXMK,LILAK,AON
Sell:EQC,INS,DHR
Buy:HD,ACN,OTIS
Add:CL,NOV,BXP
Sell:MYL,EFX,Z
Reduce:CHRW,FLS,GLD
Buy:OR,KREF,FOCS
Add:QQQ,ISRG,LMNR
Sell:TBT,LH
Reduce:DCO,GT,JPM
Add:NOV,MPAA
Reduce:JELD
Buy:PFS,DB
Add:AGO,BP,PTEN
Sell:AAPL,VHI,GBCI
Reduce:MRK,BMY,TPHS
Buy:GBX,IWM,ARNGF
Add:TRTN,HA,C
Sell:ALO,AVHOQ
Reduce:PLAB,WPX,MOS
Buy:ZLAB,QDEL,LH
Add:SYK,ILMN
Sell:ICLR,ZBH,SYNH
Reduce:MDT,BGNE
Sell:IAC
Reduce:MTCH
Reduce:A,LOW,HLT
Buy:UHAL,CLR
Add:SBUX,LEN,AXP
Reduce:WFC,BAC,MRK
Buy:TJX,CMI,KO
Add:IP,ENB,NXPI
Sell:NTRS,CNP,MO
Reduce:TXN,DIS,SRCL
Sell:QRTEA
Reduce:JNJ,GOOG,ORCL
Sell:QRTEA
Reduce:ORCL,JNJ,F
Buy:NCR,MTZ,GLIBA
Add:WDC,VNOM,AMBA
Sell:MTN
Reduce:AAN,AGCO,ISBC
Buy:MLHR,FAF,CDNS
Add:INTC,STX,DFS
Sell:IBM
Reduce:COF,ALK,FDX
Add:CMA,ORI
Reduce:EXP,
